ID;Property;Description:;Data type;Area;Defining reference;Alternate names
0x00000001;PidLidAttendeeCriticalChange;Specifies the date and time at which the meeting-related object was sent.;PtypTime, 0x0040;Meetings;[MS-OXOCAL] section 2.2.5.2;LID_ATTENDEE_CRITICAL_CHANGE
0x00000002;PidLidWhere;Contains the value of the PidLidLocation property (section 2.159) from the associated Meeting object.;PtypString, 0x001F;Meetings;[MS-OXOCAL] section 2.2.5.3;LID_WHERE
0x00000003;PidLidGlobalObjectId;Contains an ID for an object that represents an exception to a recurring series.;PtypBinary, 0x0102;Meetings;[MS-OXOCAL] section 2.2.1.27;LID_GLOBAL_OBJID
0x00000004;PidLidIsSilent;Indicates whether the user did not include any text in the body of the Meeting Response object.;PtypBoolean, 0x000B;Meetings;[MS-OXOCAL] section 2.2.7.7;LID_IS_SILENT
0x00000005;PidLidIsRecurring;Specifies whether the object is associated with a recurring series.;PtypBoolean, 0x000B;Meetings;[MS-OXOCAL] section 2.2.1.13;LID_IS_RECURRING
0x00000006;PidLidRequiredAttendees;Identifies required attendees for the appointment or meeting.;PtypString, 0x001F;Meetings;[MS-XWDCAL] section 2.2.7.63;LID_REQUIRED_ATTENDEES
0x00000007;PidLidOptionalAttendees;Specifies optional attendees.;PtypString, 0x001F;Meetings;[MS-XWDCAL] section 2.2.7.45;LID_OPTIONAL_ATTENDEES
0x00000008;PidLidResourceAttendees;Identifies resource attendees for the appointment or meeting.;PtypString, 0x001F;Meetings;[MS-XWDCAL] section 2.2.7.64;LID_RESOURCE_ATTENDEES
0x00000009;PidLidDelegateMail;Indicates whether a delegate responded to the meeting request.;PtypBoolean, 0x000B;Meetings;[MS-XWDCAL] section 2.2.7.21;LID_DELEGATE_MAIL
0x0000000A;PidLidIsException;Indicates whether the object represents an exception (including an orphan instance).;PtypBoolean, 0x000B;Meetings;[MS-OXOCAL] section 2.2.1.35;LID_IS_EXCEPTION
0x0000000C;PidLidTimeZone;Specifies information about the time zone of a recurring meeting.;PtypInteger32, 0x0003;Meetings;[MS-OXOCAL] section 2.2.5.6;LID_TIME_ZONE
0x0000000D;PidLidStartRecurrenceDate;Identifies the start date of the recurrence pattern.;PtypInteger32, 0x0003;Meetings;[MS-XWDCAL] section 2.2.7.66;LID_START_RECUR_DATE
0x0000000E;PidLidStartRecurrenceTime;Identifies the start time of the recurrence pattern.;PtypInteger32, 0x0003;Meetings;[MS-XWDCAL] section 2.2.7.67;LID_START_RECUR_TIME
0x0000000F;PidLidEndRecurrenceDate;Identifies the end date of the recurrence range.;PtypInteger32, 0x0003;Meetings;[MS-XWDCAL] section 2.2.7.22;LID_END_RECUR_DATE
0x00000010;PidLidEndRecurrenceTime;Identifies the end time of the recurrence range.;PtypInteger32, 0x0003;Meetings;[MS-XWDCAL] section 2.2.7.23;LID_END_RECUR_TIME
0x00000011;PidLidDayInterval;Identifies the day interval for the recurrence pattern.;PtypInteger16, 0x0002;Meetings;[MS-XWDCAL] section 2.2.7.19;LID_DAY_INTERVAL
0x00000012;PidLidWeekInterval;Identifies the number of weeks that occur between each meeting.;PtypInteger16, 0x0002;Meetings;[MS-XWDCAL] section 2.2.7.71;LID_WEEK_INTERVAL
0x00000013;PidLidMonthInterval;Indicates the monthly interval of the appointment or meeting.;PtypInteger16, 0x0002;Meetings;[MS-XWDCAL] section 2.2.7.33;LID_MONTH_INTERVAL
0x00000014;PidLidYearInterval;Indicates the yearly interval of the appointment or meeting.;PtypInteger16, 0x0002;Meetings;[MS-XWDCAL] section 2.2.7.73;LID_YEAR_INTERVAL
0x00000015;PidLidClientIntent; Indicates what actions the user has taken on this Meeting object.;PtypInteger32, 0x0003;Calendar;[MS-OXOCAL] section 2.2.2.4;dispidClientIntent
0x00000017;PidLidMonthOfYearMask;Indicates the calculated month of the year in which the appointment or meeting occurs.;PtypInteger32, 0x0003;Meetings;[MS-XWDCAL] section 2.2.7.35;LID_MOY_MASK
0x00000018;PidLidOldRecurrenceType;Indicates the recurrence pattern for the appointment or meeting.;PtypInteger16, 0x0002;Meetings;[MS-XWDCAL] section 2.2.7.44;LID_RECUR_TYPE
0x0000001A;PidLidOwnerCriticalChange;Specifies the date and time at which a Meeting Request object was sent by the organizer.;PtypTime, 0x0040;Meetings;[MS-OXOCAL] section 2.2.1.34;LID_OWNER_CRITICAL_CHANGE
0x0000001C;PidLidCalendarType;Contains the value of the CalendarType field from the PidLidAppointmentRecur property (section 2.22).;PtypInteger32, 0x0003;Meetings;[MS-OXOCAL] section 2.2.6.11;LID_CALENDAR_TYPE
0x00000023;PidLidCleanGlobalObjectId;Contains the value of the PidLidGlobalObjectId property (section 2.142) for an object that represents an Exception object to a recurring series, where the Year, Month, and Day fields are all zero.;PtypBinary, 0x0102;Meetings;[MS-OXOCAL] section 2.2.1.28;dispidCleanGlobalObjId
0x00000024;PidLidAppointmentMessageClass;Indicates the message class of the Meeting object to be generated from the Meeting Request object.;PtypString, 0x001F;Meetings;[MS-OXOCAL] section 2.2.6.6;dispidApptMessageClass
0x00000026;PidLidMeetingType;Indicates the type of Meeting Request object or Meeting Update object.;PtypInteger32, 0x0003;Meetings;[MS-OXOCAL] section 2.2.6.5;dispidMeetingType
0x00000028;PidLidOldLocation;Indicates the original value of the PidLidLocation property (section 2.159) before a meeting update.;PtypString, 0x001F;Meetings;[MS-OXOCAL] section 2.2.6.7;dispidOldLocation
0x00000029;PidLidOldWhenStartWhole;Indicates the original value of the PidLidAppointmentStartWhole property (section 2.29) before a meeting update.;PtypTime, 0x0040;Meetings;[MS-OXOCAL] section 2.2.6.8;dispidOldWhenStartWhole
0x0000002A;PidLidOldWhenEndWhole;Indicates the original value of the PidLidAppointmentEndWhole property (section 2.14) before a meeting update.;PtypTime, 0x0040;Meetings;[MS-OXOCAL] section 2.2.6.9;dispidOldWhenEndWhole
0x00001000;PidLidDayOfMonth;Identifies the day of the month for the appointment or meeting.;PtypInteger32, 0x0003;Calendar;[MS-XWDCAL] section 2.2.7.20;
0x00001001;PidLidICalendarDayOfWeekMask;Identifies the day of the week for the appointment or meeting.;PtypInteger32, 0x0003;Calendar;[MS-XWDCAL] section 2.2.7.27;http://schemas.microsoft.com/mapi/dayofweekmask
0x00001005;PidLidOccurrences;Indicates the number of occurrences in the recurring appointment or meeting.;PtypInteger32, 0x0003;Calendar;[MS-XWDCAL] section 2.2.7.43;
0x00001006;PidLidMonthOfYear;Indicates the month of the year in which the appointment or meeting occurs.;PtypInteger32, 0x0003;Calendar;[MS-XWDCAL] section 2.2.7.34;
