Property;Description;Property Name;Property Type;Area;Defining reference;Alternate names
PidNameAcceptLanguage;Contains the value of the MIME Accept-Language header.;Accept-Language;PtypString, 0x001F;Email;[MS-OXCMSG] section 2.2.1.42;AcceptLanguage
PidNameApplicationName;Specifies the application used to open the file attached to the Document object.;AppName;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.9;urn:schemas-microsoft-com:office:office#NameOfApplication
PidNameAttachmentMacContentType;Contains the Content-Type of the Mac attachment.;AttachmentMacContentType;PtypString, 0x001F;Message Attachment Properties;[MS-OXCMSG] section 2.2.2.29;
PidNameAttachmentMacInfo;Contains the headers and resource fork data associated with the Mac attachment.;AttachmentMacInfo;PtypBinary, 0x0102;Message Attachment Properties;[MS-OXCMSG] section 2.2.2.29;
PidNameAttachmentOriginalPermissionType;Contains the original permission type data associated with a web reference attachment.;AttachmentOriginalPermissionType;PtypInteger32, 0x0003;Message Attachment Properties;[MS-OXCMSG] section 2.2.2.27;
PidNameAttachmentPermissionType;Contains the permission type data associated with a web reference attachment.;AttachmentPermissionType;PtypInteger32, 0x0003;Message Attachment Properties;[MS-OXCMSG] section 2.2.2.28;
PidNameAttachmentProviderType;Contains the provider type data associated with a web reference attachment.;AttachmentProviderType;PtypeString, 0x001F;Message Attachment Properties;[MS-OXCMSG] section 2.2.2.26;
PidNameAudioNotes;Contains textual annotations to a voice message after it has been delivered to the user's mailbox.;UMAudioNotes;PtypString, 0x001F;Unified Messaging;[MS-OXOUM] section 2.2.5.15;UMAudioNotes
PidNameAuthor;Specifies the author of the file attached to the Document object.;Author;PtypString, 0x001F;Common;[MS-OXODOC] section 2.2.1.3;urn:schemas-microsoft-com:office:office#Author
PidNameAutomaticSpeechRecognitionData;Contains an unprotected voice message.;AsrData;PtypBinary, 0x0102;Unified Messaging;[MS-OXOUM] section 2.2.5.13;
PidNameBirthdayContactAttributionDisplayName;Indicates the name of the contact associated with the birthday event.;BirthdayContactAttributionDisplayName;PtypString, 0x001F;Contact Properties;[MS-OXOCAL] section 2.2.1.52;
PidNameBirthdayContactEntryId;Indicate the EntryID of the contact associated with the birthday event.;BirthdayContactEntryId;PtypBinary, 0x0102;Contact Properties;[MS-OXOCAL] section 2.2.1.53;
PidNameBirthdayContactPersonGuid;Indicates the person ID's GUID of the contact associated with the birthday event.;BirthdayContactPersonGuid;PtypBinary, 0x0102;Contact Properties;[MS-OXOCAL] section 2.2.1.54;
PidNameByteCount;Specifies the size, in bytes, of the file attached to the Document object.;ByteCount;PtypInteger32, 0x0003;Common;[MS-OXODOC] section 2.2.1.22;urn:schemas-microsoft-com:office:office#Bytes
PidNameCalendarAttendeeRole;Specifies the role of the attendee.;urn:schemas:calendar:attendeerole;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.2.7;urn:schemas:calendar:attendeerole
PidNameCalendarBusystatus;Specifies whether the attendee is busy at the time of an appointment on their calendar.;urn:schemas:calendar:busystatus;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.8;urn:schemas:calendar:busystatus
PidNameCalendarContact;Identifies the name of a contact who is an attendee of a meeting.;urn:schemas:calendar:contact;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.9;urn:schemas:calendar:contact
PidNameCalendarContactUrl;Identifies the URL where you can access contact information in HTML format.;urn:schemas:calendar:contacturl;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.10;urn:schemas:calendar:contacturl
PidNameCalendarCreated;Identifies the date and time, in UTC, when the organizer created the appointment or meeting.;urn:schemas:calendar:created;PtypTime, 0x0040;Common;[MS-XWDCAL] section 2.2.2.11;urn:schemas:calendar:created
PidNameCalendarDescriptionUrl;Specifies the URL of a resource that contains a description of an appointment or meeting.;urn:schemas:calendar:descriptionurl;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.12;urn:schemas:calendar:descriptionurl
PidNameCalendarDuration;Identifies the duration, in seconds, of an appointment or meeting.;urn:schemas:calendar:duration;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.2.13;urn:schemas:calendar:duration
PidNameCalendarExceptionDate;Identifies a list of dates that are exceptions to a recurring appointment.;urn:schemas:calendar:exdate;PtypMultipleTime, 0x1040;Common;[MS-XWDCAL] section 2.2.2.14;urn:schemas:calendar:exdate
PidNameCalendarExceptionRule;Specifies an exception rule for a recurring appointment.;urn:schemas:calendar:exrule;PtypMultipleString, 0x101F;Common;[MS-XWDCAL] section 2.2.2.15;urn:schemas:calendar:exrule
PidNameCalendarGeoLatitude;Specifies the geographical latitude of the location of an appointment.;urn:schemas:calendar:geolatitude;PtypFloating64, 0x0005;Common;[MS-XWDCAL] section 2.2.2.16;urn:schemas:calendar:geolatitude
PidNameCalendarGeoLongitude;Specifies the geographical longitude of the location of an appointment.;urn:schemas:calendar:geolongitude;PtypFloating64, 0x0005;Common;[MS-XWDCAL] section 2.2.2.17;urn:schemas:calendar:geolongitude
PidNameCalendarInstanceType;Specifies the type of an appointment.;urn:schemas:calendar:instancetype;PtypInteger32, 0x0003;Common;[MS-XWDCAL] section 2.2.2.18;urn:schemas:calendar:instancetype
PidNameCalendarIsOrganizer;Specifies whether an attendee is the organizer of an appointment or meeting.;urn:schemas:calendar:isorganizer;PtypBoolean, 0x000B;Common;[MS-XWDCAL] section 2.2.2.19;urn:schemas:calendar:isorganizer
PidNameCalendarLastModified;Specifies the date and time, in UTC, when an appointment was last modified.;urn:schemas:calendar:lastmodified;PtypTime, 0x0040;Common;[MS-XWDCAL] section 2.2.2.20;urn:schemas:calendar:lastmodified
PidNameCalendarLocationUrl;Specifies a URL with location information in HTML format.;urn:schemas:calendar:locationurl;PtypString, 0x001F;Common;[MS-XWDCAL] section 2.2.2.21;urn:schemas:calendar:locationurl
